id,source,title,text_excerpt,label,comment
4641,gdelt,Wall Street Plunges After Trump Iran Move,,,
20381,gdelt,Arcus Biosciences ( NYSE : RCUS ) Stock Price Up 6 . 6 % on Analyst Upgrade,,,
18188,gdelt,Nebius raised $775 million by borrowing against its GPUs . It has $40 billion more contracts to securitise . ,,,
1368,gdelt,Monty Python SPAMALOT is at the Fox Theatre this week – B98 . 5 FM,,,
5043,gdelt,Kyle Schwarber falls in Home Run Derby heartbreaker to Jordan Walker,,,
24264,gdelt,Citibank seeks to stop probe over Sh261mn KTDA - linked loan,,,
19745,gdelt,JPMorgan Chase & Co . Cuts Redwood Trust ( NYSE : RWT ) Price Target to $6 . 00,,,
22249,gdelt,JPMorgan Jamie Dimon Warns Newly Sworn - In PM Andy Burnham Over Economic Plans,,,
9306,gdelt,Tech Stocks Surge to Lead Markets Higher While Inflation Cools,,,
19244,gdelt,PNC Financial tops second - quarter forecasts as capital markets business drives growth ( PNC ) ,,,
14622,gdelt,PayPal ( NASDAQ : PYPL ) Trading Up 2 . 2 % After Analyst Upgrade,,,
1603,edgar,"Popular, Inc. 10-Q",,,
7390,gdelt,Nasdaq rebounds as cooling US inflation weighs on dollar,,,
1365,gdelt,SpaceX $10tr question : How do you value the distant future ? – The Irish Times,,,
1544,edgar,Wells Fargo & Company 8-K,"8-K WELLS FARGO & COMPANY/MN 0000072971 false 0000072971 2026-05-20 2026-05-20 0000072971 us-gaap:CommonStockMember 2026-05-20 2026-05-20 0000072971 wfc:A7.5NonCumulativePerpetualConvertibleClassAPreferredStockSeriesLMember 2026-05-20 2026-05-20 0000072971 wfc:NonCumulativePerpetualClassAPreferredStockSeriesYMember 2026-05-20 2026-05-20 0000072971 wfc:NonCumulativePerpetualClassAPreferredStockSeriesZMember 2026-05-20 2026-05-20 0000072971 wfc:NonCumulativePerpetualClassAPreferredStockSeriesAAMember 2026-05-20 2026-05-20 0000072971 wfc:NonCumulativePerpetualClassAPreferredStockSeriesCCMember 2026-05-20 2026-05-20 0000072971 wfc:NonCumulativePerpetualClassAPreferredStockSeriesDDMember 2026-05-20 2026-05-20 0000072971 wfc:GuaranteeofMediumTermNotesSeriesAdueOctober302028ofWellsFargoFinanceLLCMember 2026-05-20 2026-05-20 UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 8-K CURRENT REPORT Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934 Date of Report (date of earliest event reported): May 20, 2026 WELLS FARGO & COMPANY (Exact name of registrant as specified in its charter) Delaware 001-02979 No. 41-0449260 (State or other jurisdiction of incorporation) (Commission File Number) (IRS Employer Identification No.) 333 Market Street , San Francisco , California 94105 (Address of principal executive offices) (Zip Code) Registrant’s telephone number, including area code: 415 - 371-2921 Not applicable (Former name or former address, if changed since last report) Check the appropriate box below if the Form 8-K filing is intended to simultaneously satisfy the filing obligation of the registrant under any of the following provisions: ☐ Written communications pursuant to Rule 425 under the Securities Act (17 CFR 230.425) ☐ Soliciting material pursuant to Rule 14a-12 under the Exchange Act (17 CFR 240.14a-12) ☐ Pre-commencement communications pursuant to Rule 14d-2(b) under the Exchange Act (17 CFR 240.14d-2(b)) ☐ Pre-commencement communications pursuant to Rule 13e-4(c) under the Exchange Act (17 CFR 240.13e-4(c)) Securities registered pursuant to Section 12(b) of the Act: Title of Each Class Trading Symbol Name of Each Exchange on Which Registered Common Stock, par value $1-2/3 WFC New York Stock Exchange (NYSE) 7.5% Non-Cumulative Perpetual Convertible Class A Preferred Stock, Series L WFC.PRL NYSE Depositary Shares, each representing a 1/1000th interest in a share of Non-Cumulative Perpetual Class A Preferred Stock, Series Y WFC.PRY NYSE Depositary Shares, each representing a 1/1000th interest in a share of Non-Cumulative Perpetual Class A Preferred Stock, Series Z WFC.PRZ NYSE Depositary Shares, each representing a 1/1000th interest in a share of Non-Cumulative Perpetual Class A Preferred Stock, Series AA WFC.PRA NYSE Depositary Shares, each representing a 1/1000th interest in a share of Non-Cumulative Perpetual Class A Preferred Stock, Series CC WFC.PRC NYSE Depositary Shares, each representing a 1/1000th interest in a share of Non-Cumulative Perpetual Class A Preferred Stock, Series DD WFC.PRD NYSE Guarantee of Medium-Term Notes, Series A, due October 30, 2028 of Wells Fargo Finance LLC WFC/28A NYSE Indicate by check mark whether the registrant is an emerging growth company as defined in Rule 405 of the Securities Act (17 CFR 230.405) or Rule 12b-2 of the Exchange Act (17 CFR 240.12b-2). Emerging growth company ☐ If an emerging growth company, indicate by check mark if the registrant has elected not to use the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 9.01. Financial Statements and Exhibits Exhibits are filed herewith in connection with the Registration Statement on Form S-3 (File No. 333-287868) filed by Wells Fargo & Company (the “ Company ”) with the Securities and Exchange Commission (the “ SEC ”). On May 20, 2026, the Company issued the following Medium-Term Notes, Se",,
