id,source,title,text_excerpt,label,comment
14856,gdelt,"Dow Falls 106 Points , Nasdaq Sinks 1 . 47 % As Chip Stocks Slide , Iran Conflict Weighs",,neutral,Not a bank
10666,gdelt,Sprout Social to cut 260 jobs as AI reshapes software industry,,neutral,Not a bank
1767,edgar,"Northwest Bancshares, Inc. 10-Q",,neutral,Not a bank
7512,gdelt,Trump U - turns on Strait fees ; IBM plunges more than 20 % ,,neutral,Not a bank
1929,edgar,"WesBanco, Inc. 8-K","8-K 0000203596 false 0000203596 2026-05-04 2026-05-04 0000203596 us-gaap:SeriesBPreferredStockMember 2026-05-04 2026-05-04 0000203596 us-gaap:CommonStockMember 2026-05-04 2026-05-04 UNITED STATES SECURITIES AND EXCHANGE COMMISSION WASHINGTON, D.C. 20549 FORM 8-K CURRENT REPORT Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934 Date of Report (Date of earliest event reported): May 04, 2026 WESBANCO, INC. (Exact name of Registrant as Specified in Its Charter) West Virginia 001-39442 55-0571723 (State or Other Jurisdiction of Incorporation) (Commission File Number) (IRS Employer Identification No.) 1 Bank Plaza Wheeling , West Virginia 26003 (Address of Principal Executive Offices) (Zip Code) Registrant’s Telephone Number, Including Area Code: 304 234-9000 Former Name or Former Address, if Changed Since Last Report: Not Applicable Check the appropriate box below if the Form 8-K filing is intended to simultaneously satisfy the filing obligation of the registrant under any of the following provisions: ☐ Written communications pursuant to Rule 425 under the Securities Act (17 CFR 230.425) ☐ Soliciting material pursuant to Rule 14a-12 under the Exchange Act (17 CFR 240.14a-12) ☐ Pre-commencement communications pursuant to Rule 14d-2(b) under the Exchange Act (17 CFR 240.14d-2(b)) ☐ Pre-commencement communications pursuant to Rule 13e-4(c) under the Exchange Act (17 CFR 240.13e-4(c)) Securities registered pursuant to Section 12(b) of the Act: Title of each class Trading Symbol(s) Name of each exchange on which registered Common Stock $2.0833 Par Value WSBC Nasdaq Global Select Market Depositary Shares (each representing 1/40th interest in a share of 7.375% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series B) WSBCO Nasdaq Global Select Market Indicate by check mark whether the registrant is an emerging growth company as defined in Rule 405 of the Securities Act of 1933 (§ 230.405 of this chapter) or Rule 12b-2 of the Securities Exchange Act of 1934 (§ 240.12b-2 of this chapter). Emerging growth company ☐ If an emerging growth company, indicate by check mark if the registrant has elected not to use the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 7.01 Regulation FD Disclosure. In accordance with general instruction B.2. of Form 8-K, the following information is furnished and shall not be deemed filed for the purpose of Section 18 of the Securities Exchange Act of 1934. Representatives of the Registrant are scheduled to make various investor presentations during the second quarter of 2026. A copy of this presentation is being furnished as Exhibit 99.1 in this Form 8-K. Item 9.01 Financial Statements and Exhibits. (d) Exhibits: 99.1 - Presentation on first quarter 2026 results by Wesbanco, Inc., at various investor conferences or other events in the second quarter of 2026. 104 – Cover Page Interactive Data File (embedded within the Inline XBRL document). SIGNATURE Pursuant to the requirements of the Securities Exchange Act of 1934, the registrant has duly caused this report to be signed on its behalf by the undersigned thereunto duly authorized. Wesbanco, Inc. (registrant) Date: May 04, 2026 /s/ Daniel K. Weiss, Jr. Daniel K. Weiss, Jr. Senior Executive Vice President and Chief Financial Officer",neutral,
1857,edgar,SouthState Corporation 8-K,"SOUTHSTATE BANK CORP_April 23, 2026 0000764038 false 0000764038 2026-04-23 2026-04-23 ​ ​ UNITED STATES SECURITIES AND EXCHANGE COMMISSION WASHINGTON, D.C. 20549 ​ FORM 8-K ​ CURRENT REPORT ​ Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934 ​ Date of Report (Date of earliest event reported): April 23, 2026 ​ SOUTHSTATE BANK CORP ORATION (Exact name of registrant as specified in its charter) ​ ​ ​ ​ ​ ​ ​ ​ ​ Florida (State or Other Jurisdiction of Incorporation) 001-12669 (Commission File Number) 39-3424417 (IRS Employer Identification No.) ​ ​ ​ ​ ​ ​ ​ ​ 1101 First Street South , Suite 202 Winter Haven , FL (Address of principal executive offices) ​ 33880 (Zip Code) ​ ( 863 ) 293-4710 (Registrant’s telephone number, including area code) ​ Not Applicable (Former name or former address, if changed since last report) ​ Check the appropriate box below if the Form 8-K filing is intended to simultaneously satisfy the filing obligation of the registrant under any of the following provisions (see General Instruction A.2. below): ​ ☐ Written communications pursuant to Rule 425 under the Securities Act (17 CFR 230.425) ☐ Soliciting material pursuant to Rule 14a-12 under the Exchange Act (17 CFR 240.14a-12) ☐ Pre-commencement communications pursuant to Rule 14d-2(b) under the Exchange Act (17 CFR 240.14d-2(b)) ☐ Pre-commencement communications pursuant to Rule 13e-4(c) under the Exchange Act (17 CFR 240.13e-4(c)) ​ Securities registered pursuant to Section 12(b) of the Act: ​ ​ ​ ​ Title of each class Trading Symbol(s) Name of each exchange on which registered Common stock, par value $2.50 per share SSB The New York Stock Exchange ​ Indicate by check mark whether the registrant is an emerging growth company as defined in Rule 405 of the Securities Act of 1933 (§230.405 of this chapter) or Rule 12b-2 of the Securities Exchange Act of 1934 (§240.12b-2 of this chapter). ​ Emerging growth company ☐ ​ If an emerging growth company, indicate by check mark if the registrant has elected not to use the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ ​ ​ ​ ​ ​ ​ Item 2.02 ​ ​ Results of Operations and Financial Condition. ​ On April 23, 2026, SouthState Bank Corporation (“SouthState” or the “Company”) issued a press release announcing its financial results for the three-month period ended March 31, 2026, along with certain other financial information. Copies of the Company’s press release and presentation are attached as Exhibit 99.1 and 99.2, respectively, to this report and incorporated herein by reference. ​ SouthState will host a conference call on April 24, 2026 at 9 a.m. (ET) to discuss the Company’s first quarter 2026 results. Investors may call in (toll free) by dialing (888) 350-3899 within the U.S. and (646) 960-0343 for all other locations (passcode 4200408; host: Will Matthews, CFO). The numbers for international participants are listed at https://events.q4irportal.com/custom/access/2324/. Participants may also pre-register for the conference by navigating to https://events.q4inc.com/attendee/361570488. Access detail will be provided via email upon completion of registration. ​ ​ ​ Item 7.01 ​ Regulation FD Disclosure. ​ On April 23, 2026, the Company also made available the presentation (“Presentation”) prepared for use with the press release during the earnings conference call on April 24, 2026. Attached hereto and incorporated herein as Exhibit 99.2 is the text of that presentation. ​ The information contained in this Item 7.01 of this Current Report, including the information set forth in the Presentation filed as Exhibit 99.2 to, and incorporated in, this Current Report, is being ""furnished"" and shall not be deemed to be “filed” for purposes of Section 18 of the Exchange Act, or otherwise subject to the liability of that section, and shall not be incorporated by reference into any registration statement",neutral,earnings release announced; no direction in excerpt
3849,gdelt,Lifeworks Advisors LLC Cuts Stock Holdings in Wabtec $WAB,,neutral,Not a bank
7696,gdelt,Grocery prices increase for the fifth month this year,,neutral,Not a bank
23711,gdelt,"WesBanco ( NASDAQ : WSBC ) Posts Quarterly Earnings Results , Beats Estimates By $0 . 06 EPS",,positive,earnings beat estimates
293,gdelt,Ramsay Stattman Vela & Price Inc . Cuts Stake in Illinois Tool Works Inc . $ITW,,neutral,
4009,gdelt,"Commonwealth of Pennsylvania Public School Empls Retrmt SYS Sells 2 , 622 Shares of Spotify Technology $SPOT",,neutral,
9488,gdelt,JPMorgan invests $24M to resurrect rusting US shipyards,,positive,investment in shipyards; JPMorgan is a bank
4464,gdelt,Helsing Raises $1 . 8B to Expand Defence AI Platforms,,neutral,Helsing is not a bank
23123,gdelt,Rupee rebound bets vanish as soaring crude blunts inflows,,neutral,Not a bank
