id,source,title,text_excerpt,label,comment
12140,gdelt,Extra Space Storage ( NYSE : EXR ) Earns Outperform Rating from Analysts at Raymond James Financial,,neutral,
12044,gdelt,"D . A . Davidson & CO . Sells 18 , 453 Shares of International Business Machines Corporation $IBM",,neutral,
16214,gdelt,Earnings week ahead : Alphabet and Tesla are the headliners,,neutral,
20301,gdelt,Western Union ( NYSE : WU ) Shares Down 4 . 3 % After Analyst Downgrade,,neutral,
8010,gdelt,Justin Verlander speaks to AL team before final All - Star Game,,neutral,
6127,gdelt,Q3 EPS Estimates for Nurix Therapeutics Cut by HC Wainwright,,neutral,
8067,gdelt,Former Obama counsel Kathryn Ruemmler to testify in Epstein probe,,neutral,
9514,gdelt,Ad Council 72nd Annual Public Service Award Dinner,,neutral,
730,gdelt,US court pauses union lawsuit against Trump consumer watchdog,,neutral,
21311,gdelt,Jamie Dimon Says Anthropic Mythos Access Debate Is a Warning Sign for AI Future,,neutral,
7751,gdelt,M & T Bank Corporation Announces Quarterly Preferred Stock Dividends,,neutral,
20436,gdelt,The Next Phase Of Shrinkflation : Rolling Blackouts,,neutral,
5339,gdelt,Vertiv ( NYSE : VRT ) And GE Vernova ( NYSE : GEV ) Positioned To Beat The Market As Power Demand Surges Toward 2030,,neutral,
16788,gdelt,Is the Magnificent Seven a stock market bubble ? - Investment Executive,,neutral,
15894,gdelt,Baystreet . ca - Goldman Sachs Posts Record Earnings And Raises Dividend 11 % ,,positive,record earnings + dividend raise
5870,gdelt,"Principal Financial Group Inc . Cuts Stock Position in NextEra Energy , Inc . $NEE",,neutral,
86,gdelt,Phillies bullpen falters in 10 - 2 loss to Tigers,,neutral,
20354,gdelt,Brent Crude Rebounds Above US$90 As Ceasefire Collapses,,neutral,
2942,gdelt,Bureaucracy Is Strangling America Clean Energy Buildout,,neutral,
21371,gdelt,"Sanctuary Advisors LLC Cuts Stock Position in Expedia Group , Inc . $EXPE",,neutral,
7985,gdelt,"AI biggest opportunity for India internet firms may be expanding the market , not cutting costs : BofA",,neutral,
1757,edgar,Merchants Bancorp 8-K,"false 0001629019 0001629019 2026-04-28 2026-04-28 0001629019 us-gaap:CommonStockMember 2026-04-28 2026-04-28 0001629019 us-gaap:SeriesCPreferredStockMember 2026-04-28 2026-04-28 0001629019 us-gaap:SeriesDPreferredStockMember 2026-04-28 2026-04-28 0001629019 us-gaap:SeriesEPreferredStockMember 2026-04-28 2026-04-28 iso4217:USD xbrli:shares iso4217:USD xbrli:shares United States SECURITIES AND EXCHANGE COMMISSION WASHINGTON, D.C. 20549 FORM 8-K CURRENT REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 Date of Report (Date of earliest event reported): April 28, 2026 Merchants Bancorp (Exact Name of Registrant as Specified in its Charter) Indiana 001-38258 20-5747400 (State or Other Jurisdiction of Incorporation) (Commission File Number) (IRS Employer Identification No.) 410 Monon Boulevard Carmel , Indiana 46032 (Address of Principal Executive Offices) (Zip Code) ( 317 ) 569-7420 (Registrant’s Telephone Number, Including Area Code) Not Applicable (Former name or former address, if changed since last report) Check the appropriate box below if the Form 8-K filing is intended to simultaneously satisfy the filing obligation of the registrant under any of the following provisions: ¨ Written communications pursuant to Rule 425 under the Securities Act (17 CFR 230.425) ¨ Soliciting material pursuant to Rule 14a-12 under the Exchange Act (17 CFR 240.14a-12) ¨ Pre-commencement communications pursuant to Rule 14d-2(b) under the Exchange Act (17 CFR 240.14d-2(b)) ¨ Pre-commencement communications pursuant to Rule 13e-4(c) under the Exchange Act (17 CFR 240.13e-4(c)) Securities registered pursuant to Section 12(b) of the Act: Title of each class Trading Symbol(s) Name of each exchange on which registered Common Stock, without par value MBIN NASDAQ Depositary Shares, each representing a 1/40th interest in a share of Series C Preferred Stock, without par value MBINN NASDAQ Depositary Shares, each representing a 1/40th interest in a share of Series D Preferred Stock, without par value MBINM NASDAQ Depositary Shares, each representing a 1/40th interest in a share of Series E Preferred Stock, without par value MBINL NASDAQ Indicate by check mark whether the registrant is an emerging growth company as deﬁned in Rule 405 of the Securities Act of 1933 (§230.405 of this chapter) or Rule 12b-2 of the Securities Exchange Act of 1934 (§240.12b-2 of this chapter). Emerging growth company ¨ If an emerging growth company, indicate by check mark if the registrant has elected not to use the extended transition period for complying with any new or revised ﬁnancial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ¨ Item 2.02. Results of Operations and Financial Condition. On April 28, 2026, Merchants Bancorp issued a press release reporting its financial results for the first quarter of 2026. The press release is furnished as Exhibit 99.1 hereto and is incorporated herein by reference. Item 9.01. Financial Statements and Exhibits. (d) Exhibits. Exhibit No. Description 99.1 Press Release dated April 28, 2026 issued by Merchants Bancorp. 104 Cover Page Interactive Data File. The cover page XBRL tags are embedded within the inline XBRL document. SIGNATURE Pursuant to the requirements of the Securities Exchange Act of 1934, the registrant has duly caused this report to be signed on its behalf by the undersigned hereunto duly authorized. MERCHANTS BANCORP Date: April 28, 2026 By: /s/ Terry Oznick Name: Terry Oznick Title: General Counsel",neutral,
